"Finding_ID","Project","CWE_Rule","Severity","Status","Discovery_Date","Remediation_Days","Resolved_Date"
"SAST-0001","User-Portal","CWE-78: Command Injection","High","False Positive",2026-01-30,NA,NA
"SAST-0002","User-Portal","CWE-79: Cross-Site Scripting (XSS)","High","Open",2026-03-05,NA,NA
"SAST-0003","Auth-Service","CWE-78: Command Injection","Medium","Open",2026-01-29,NA,NA
"SAST-0004","Payment-API","CWE-798: Hardcoded Secret","Low","Fixed",2026-04-08,14,"2026-04-22"
"SAST-0005","Data-Pipeline","CWE-79: Cross-Site Scripting (XSS)","Medium","Fixed",2026-03-13,21,"2026-04-03"
"SAST-0006","Auth-Service","CWE-22: Path Traversal","High","Fixed",2026-03-14,15,"2026-03-29"
"SAST-0007","User-Portal","CWE-79: Cross-Site Scripting (XSS)","Medium","False Positive",2026-02-23,NA,NA
"SAST-0008","User-Portal","CWE-89: SQL Injection","Medium","Fixed",2026-02-09,11,"2026-02-20"
"SAST-0009","Auth-Service","CWE-79: Cross-Site Scripting (XSS)","Medium","Open",2026-03-29,NA,NA
"SAST-0010","Payment-API","CWE-79: Cross-Site Scripting (XSS)","High","Open",2026-01-24,NA,NA
"SAST-0011","User-Portal","CWE-22: Path Traversal","High","Fixed",2026-04-03,12,"2026-04-15"
"SAST-0012","Auth-Service","CWE-79: Cross-Site Scripting (XSS)","Critical","Fixed",2026-04-24,15,"2026-05-09"
"SAST-0013","Payment-API","CWE-22: Path Traversal","Critical","Fixed",2026-02-22,12,"2026-03-06"
"SAST-0014","Data-Pipeline","CWE-79: Cross-Site Scripting (XSS)","High","Open",2026-03-18,NA,NA
"SAST-0015","User-Portal","CWE-22: Path Traversal","High","Fixed",2026-01-11,8,"2026-01-19"
"SAST-0016","Data-Pipeline","CWE-22: Path Traversal","Medium","Open",2026-04-08,NA,NA
"SAST-0017","User-Portal","CWE-798: Hardcoded Secret","High","Open",2026-03-06,NA,NA
"SAST-0018","Payment-API","CWE-79: Cross-Site Scripting (XSS)","Low","Fixed",2026-02-16,11,"2026-02-27"
"SAST-0019","Payment-API","CWE-89: SQL Injection","Medium","Fixed",2026-03-09,18,"2026-03-27"
"SAST-0020","Payment-API","CWE-79: Cross-Site Scripting (XSS)","Medium","Open",2026-04-03,NA,NA
"SAST-0021","Data-Pipeline","CWE-89: SQL Injection","Critical","Open",2026-01-26,NA,NA
"SAST-0022","User-Portal","CWE-798: Hardcoded Secret","High","Fixed",2026-04-21,11,"2026-05-02"
"SAST-0023","User-Portal","CWE-89: SQL Injection","Medium","False Positive",2026-03-18,NA,NA
"SAST-0024","Data-Pipeline","CWE-200: Sensitive Info Exposure","Medium","Open",2026-02-22,NA,NA
"SAST-0025","Payment-API","CWE-89: SQL Injection","Low","False Positive",2026-01-04,NA,NA
"SAST-0026","Auth-Service","CWE-78: Command Injection","High","Open",2026-04-02,NA,NA
"SAST-0027","User-Portal","CWE-78: Command Injection","Medium","Open",2026-01-29,NA,NA
"SAST-0028","Data-Pipeline","CWE-798: Hardcoded Secret","Low","Fixed",2026-04-16,12,"2026-04-28"
